VannforekomstID;Vannforekomstnavn;Vanntype;Nasjonal vanntype;Interkalibreringstype;Økoregion kyst;Kysttype;Salinitet;Tidevann;Bølgeeksponering;Miksing i vannsøylen;Oppholdstid;Strømhastighet;Vannregionkoordinator;Vannregion;Vannområde;VassdragsområdeID;Vassdragsområde;Endret dato
0101000030-1-C;Torbjørnskjær;CS1721112;S1;CW-NEA10;Skagerak;Åpen eksponert kyst;Skagerak (> 25);Liten (< 1 m);Høy;Blandet;Kort (dager);Moderat (1 - 3 knop);Viken FK;Innlandet og Viken;Glomma sør for Øyeren;2;GLOMMAVASSDRAGET/HVALER OG SINGLEFJORDEN;10/28/2019 10:10:30 AM
0101000030-2-C;Færder;CS1721112;S1;CW-NEA10;Skagerak;Åpen eksponert kyst;Skagerak (> 25);Liten (< 1 m);Høy;Blandet;Kort (dager);Moderat (1 - 3 knop);Vestfold og Telemark FK;Vestfold og Telemark;Horten - Larvik;14;AULIVASSDRAGET/KYST TØNSBERG-SANDEFJORD;10/28/2019 10:08:24 AM
0101000031-C;Svenner - Rauer;CS1721112;S1;CW-NEA10;Skagerak;Åpen eksponert kyst;Skagerak (> 25);Liten (< 1 m);Høy;Blandet;Kort (dager);Moderat (1 - 3 knop);Vestfold og Telemark FK;Vestfold og Telemark;Horten - Larvik;15;NUMEDALSLÅGEN OG SILJANVASSDRAGET/KYST SANDEFJORD-MØLEN;10/28/2019 10:35:38 AM
0101000032-2-C;Vauerkilen;CS3723222;S3;CW-NEA9;Skagerak;Beskyttet kyst/fjord;Skagerak (> 25);Liten (< 1 m);Beskyttet;Delvis blandet;Moderat (uker);Moderat (1 - 3 knop);Viken FK;Innlandet og Viken;Glomma sør for Øyeren;2;GLOMMAVASSDRAGET/HVALER OG SINGLEFJORDEN;08/08/2018 11:19
0101000032-3-C;Tjøme;CS1721112;S1;CW-NEA10;Skagerak;Åpen eksponert kyst;Skagerak (> 25);Liten (< 1 m);Høy;Blandet;Kort (dager);Moderat (1 - 3 knop);Vestfold og Telemark FK;Vestfold og Telemark;Horten - Larvik;14;AULIVASSDRAGET/KYST TØNSBERG-SANDEFJORD;10/28/2019 11:41:45 AM
0101000032-4-C;Nordre og Søndre Søster;CS1721112;S1;CW-NEA10;Skagerak;Åpen eksponert kyst;Skagerak (> 25);Liten (< 1 m);Høy;Blandet;Kort (dager);Moderat (1 - 3 knop);Viken FK;Innlandet og Viken;Glomma sør for Øyeren;2;GLOMMAVASSDRAGET/HVALER OG SINGLEFJORDEN;10/28/2019 11:58:24 AM
0101010201-C;Iddefjorden-indre;CS5623322;S5;Not applicable;Skagerak;Sterkt ferskvannspåvirket fjord;Skagerak (5 - 25);Liten (< 1 m);Beskyttet;Lagdelt;Moderat (uker);Moderat (1 - 3 knop);Viken FK;Innlandet og Viken;Enningdalen;1;HALDENVASSDRAGET/IDDEFJORDEN;11/30/2018 1:55:46 PM
0101010202-1-C;Iddefjorden hovedbasseng;CS5623322;S5;Not applicable;Skagerak;Sterkt ferskvannspåvirket fjord;Skagerak (5 - 25);Liten (< 1 m);Beskyttet;Lagdelt;Moderat (uker);Moderat (1 - 3 knop);Viken FK;Innlandet og Viken;Haldenvassdraget;1;HALDENVASSDRAGET/IDDEFJORDEN;11/30/2018 2:40:50 PM
0101010202-2-C;Halden havnebasseng;CS5623322;S5;Not applicable;Skagerak;Sterkt ferskvannspåvirket fjord;Skagerak (5 - 25);Liten (< 1 m);Beskyttet;Lagdelt;Moderat (uker);Moderat (1 - 3 knop);Viken FK;Innlandet og Viken;Haldenvassdraget;1;HALDENVASSDRAGET/IDDEFJORDEN;6/15/2018 8:52:38 AM
0101010203-C;Iddefjorden-ytre;CS7323313;;Not applicable;Skagerak;Strømrikt sund;Mesohalin (5 - 18);Liten (< 1 m);Beskyttet;Lagdelt;Kort (dager);Sterk (> 3 knop);Viken FK;Innlandet og Viken;Haldenvassdraget;1;HALDENVASSDRAGET/IDDEFJORDEN;2/15/2012 11:38:43 AM
0101010301-C;Singlefjorden;CS3723222;S3;CW-NEA9;Skagerak;Beskyttet kyst/fjord;Skagerak (> 25);Liten (< 1 m);Beskyttet;Delvis blandet;Moderat (uker);Moderat (1 - 3 knop);Viken FK;Innlandet og Viken;Glomma sør for Øyeren;2;GLOMMAVASSDRAGET/HVALER OG SINGLEFJORDEN;11/30/2018 1:33:49 PM
